sample_id,label,predicted_label,score
P0001,1,1,0.98
P0002,1,1,0.96
P0003,1,1,0.99
P0004,1,1,0.95
P0005,1,1,0.97
P0006,1,1,0.98
P0007,1,1,0.96
P0008,1,1,0.97
P0009,1,1,0.99
P0010,1,1,0.95
P0011,1,1,0.97
P0012,1,1,0.96
P0013,1,1,0.98
P0014,1,1,0.97
P0015,1,1,0.99
P0016,1,1,0.95
P0017,1,1,0.96
P0018,1,1,0.98
P0019,1,1,0.95
P0020,1,1,0.97
P0021,1,1,0.96
P0022,1,1,0.98
P0023,1,1,0.97
P0024,1,1,0.99
P0025,1,1,0.95
P0026,1,1,0.97
P0027,1,1,0.96
P0028,1,1,0.98
P0029,1,1,0.97
P0030,1,1,0.99
P0031,1,1,0.95
P0032,1,1,0.96
P0033,1,1,0.98
P0034,1,1,0.97
P0035,1,1,0.99
P0036,1,1,0.95
P0037,1,1,0.96
P0038,1,1,0.98
P0039,1,1,0.97
P0040,1,1,0.99
P0041,1,1,0.95
P0042,1,1,0.96
P0043,1,1,0.98
P0044,1,1,0.97
P0045,1,1,0.99
P0046,1,1,0.95
P0047,1,1,0.96
P0048,1,1,0.98
P0049,1,1,0.97
P0050,1,1,0.99
P0051,1,1,0.95
P0052,1,1,0.96
P0053,1,1,0.98
P0054,1,1,0.97
P0055,1,1,0.99
P0056,1,1,0.95
P0057,1,1,0.96
P0058,1,1,0.98
P0059,1,1,0.97
P0060,1,1,0.99
P0061,1,1,0.95
P0062,1,1,0.96
P0063,1,1,0.98
P0064,1,1,0.97
P0065,1,1,0.99
P0066,1,1,0.95
P0067,1,1,0.96
P0068,1,1,0.98
P0069,1,1,0.97
P0070,1,1,0.99
P0071,1,1,0.95
P0072,1,1,0.96
P0073,1,1,0.98
P0074,1,1,0.97
P0075,1,1,0.99
P0076,1,1,0.95
P0077,1,1,0.96
P0078,1,1,0.98
P0079,1,1,0.97
P0080,1,1,0.99
P0081,1,1,0.95
P0082,1,1,0.96
P0083,1,1,0.98
P0084,1,1,0.97
P0085,1,1,0.99
P0086,1,1,0.95
P0087,1,1,0.96
P0088,1,1,0.98
P0089,1,1,0.97
P0090,1,1,0.99
P0091,1,1,0.95
P0092,1,1,0.96
P0093,1,1,0.98
P0094,1,1,0.97
P0095,1,1,0.99
P0096,1,1,0.95
P0097,1,1,0.96
P0098,1,1,0.98
P0099,1,1,0.97
P0100,1,1,0.99
P0101,1,1,0.95
P0102,1,1,0.96
P0103,1,1,0.98
P0104,1,1,0.97
P0105,1,1,0.99
P0106,1,1,0.95
P0107,1,1,0.96
P0108,1,1,0.98
P0109,1,1,0.97
P0110,1,1,0.99
P0111,1,1,0.95
P0112,1,1,0.96
P0113,1,1,0.98
P0114,1,1,0.97
P0115,1,1,0.99
P0116,1,1,0.95
P0117,1,1,0.96
P0118,1,1,0.98
P0119,1,1,0.97
P0120,1,1,0.99
P0121,1,1,0.95
P0122,1,1,0.96
P0123,1,1,0.98
P0124,1,1,0.97
P0125,1,0,0.30
N0001,0,0,0.10
N0002,0,0,0.12
N0003,0,0,0.05
N0004,0,0,0.20
N0005,0,0,0.15
N0006,0,0,0.05
N0007,0,0,0.13
N0008,0,0,0.12
N0009,0,0,0.02
N0010,0,0,0.10
N0011,0,0,0.12
N0012,0,0,0.15
N0013,0,0,0.11
N0014,0,0,0.09
N0015,0,0,0.10
N0016,0,0,0.07
N0017,0,0,0.20
N0018,0,0,0.14
N0019,0,0,0.11
N0020,0,0,0.09
N0021,0,0,0.10
N0022,0,0,0.08
N0023,0,0,0.11
N0024,0,0,0.13
N0025,0,0,0.12
N0026,0,0,0.10
N0027,0,0,0.09
N0028,0,0,0.08
N0029,0,0,0.07
N0030,0,0,0.10
N0031,0,0,0.11
N0032,0,0,0.09
N0033,0,0,0.08
N0034,0,0,0.12
N0035,0,0,0.10
N0036,0,0,0.11
N0037,0,0,0.09
N0038,0,0,0.08
N0039,0,0,0.10
N0040,0,0,0.11
N0041,0,0,0.09
N0042,0,0,0.08
N0043,0,0,0.10
N0044,0,0,0.11
N0045,0,0,0.09
N0046,0,0,0.08
N0047,0,0,0.10
N0048,0,0,0.11
N0049,0,0,0.09
N0050,0,0,0.08
N0051,0,0,0.10
N0052,0,0,0.11
N0053,0,0,0.09
N0054,0,0,0.08
N0055,0,0,0.10
N0056,0,0,0.11
N0057,0,0,0.09
N0058,0,0,0.08
N0059,0,0,0.10
N0060,0,0,0.11
N0061,0,0,0.09
N0062,0,0,0.08
N0063,0,0,0.10
N0064,0,0,0.11
N0065,0,0,0.09
N0066,0,0,0.08
N0067,0,0,0.10
N0068,0,0,0.11
N0069,0,0,0.09
N0070,0,0,0.08
N0071,0,0,0.10
N0072,0,0,0.11
N0073,0,0,0.09
N0074,0,0,0.08
N0075,0,0,0.10
N0076,0,0,0.11
N0077,0,0,0.09
N0078,0,0,0.08
N0079,0,0,0.10
N0080,0,0,0.11
N0081,0,0,0.09
N0082,0,0,0.08
N0083,0,0,0.10
N0084,0,0,0.11
N0085,0,0,0.09
N0086,0,0,0.08
N0087,0,0,0.10
N0088,0,0,0.11
N0089,0,0,0.09
N0090,0,0,0.08
N0091,0,0,0.10
N0092,0,0,0.11
N0093,0,0,0.09
N0094,0,0,0.08
N0095,0,0,0.10
N0096,0,0,0.11
N0097,0,0,0.09
N0098,0,0,0.08
N0099,0,0,0.10
N0100,0,0,0.11
N0101,0,0,0.09
N0102,0,0,0.08
N0103,0,0,0.10
N0104,0,0,0.11
N0105,0,0,0.09
N0106,0,0,0.08
N0107,0,0,0.10
N0108,0,0,0.11
N0109,0,0,0.09
N0110,0,0,0.08
N0111,0,0,0.10
N0112,0,0,0.11
N0113,0,0,0.09
N0114,0,0,0.08
N0115,0,0,0.10
N0116,0,0,0.11
N0117,0,0,0.09
N0118,0,0,0.08
N0119,0,0,0.10
N0120,0,0,0.11
N0121,0,0,0.09
N0122,0,0,0.08
N0123,0,0,0.10
N0124,0,0,0.11
N0125,0,0,0.09
N0126,0,0,0.08
N0127,0,0,0.10
N0128,0,0,0.11
N0129,0,0,0.09
N0130,0,0,0.08
N0131,0,0,0.10
N0132,0,0,0.11
N0133,0,0,0.09
N0134,0,0,0.08
N0135,0,0,0.10
N0136,0,0,0.11
N0137,0,0,0.09
N0138,0,0,0.08
N0139,0,0,0.10
N0140,0,0,0.11
N0141,0,0,0.09
N0142,0,0,0.08
N0143,0,0,0.10
N0144,0,0,0.11
N0145,0,0,0.09
N0146,0,0,0.08
N0147,0,0,0.10
N0148,0,0,0.11
N0149,0,0,0.09
N0150,0,0,0.08
N0151,0,0,0.10
N0152,0,0,0.11
N0153,0,0,0.09
N0154,0,0,0.08
N0155,0,0,0.10
N0156,0,0,0.11
N0157,0,0,0.09
N0158,0,0,0.08
N0159,0,0,0.10
N0160,0,0,0.11
N0161,0,0,0.09
N0162,0,0,0.08
N0163,0,0,0.10
N0164,0,0,0.11
N0165,0,0,0.09
N0166,0,0,0.08
N0167,0,0,0.10
N0168,0,0,0.11
N0169,0,0,0.09
N0170,0,0,0.08
N0171,0,0,0.10
N0172,0,0,0.11
N0173,0,0,0.09
N0174,0,0,0.08
N0175,0,0,0.10
N0176,0,0,0.11
N0177,0,0,0.09
N0178,0,0,0.08
N0179,0,0,0.10
N0180,0,0,0.11
N0181,0,0,0.09
N0182,0,0,0.08
N0183,0,0,0.10
N0184,0,0,0.11
N0185,0,0,0.09
N0186,0,0,0.08
N0187,0,0,0.10
N0188,0,0,0.11
N0189,0,0,0.09
N0190,0,0,0.08
N0191,0,0,0.10
N0192,0,0,0.11
N0193,0,0,0.09
N0194,0,0,0.08
N0195,0,0,0.10
N0196,0,0,0.11
N0197,0,0,0.09
N0198,0,0,0.08
N0199,0,0,0.10
N0200,0,0,0.11
N0201,0,0,0.09
N0202,0,0,0.08
N0203,0,0,0.10
N0204,0,0,0.11
N0205,0,0,0.09
N0206,0,0,0.08
N0207,0,0,0.10
N0208,0,0,0.11
N0209,0,0,0.09
N0210,0,0,0.08
N0211,0,0,0.10
N0212,0,0,0.11
N0213,0,0,0.09
N0214,0,0,0.08
N0215,0,0,0.10
N0216,0,0,0.11
N0217,0,0,0.09
N0218,0,0,0.08
N0219,0,0,0.10
N0220,0,0,0.11
N0221,0,0,0.09
N0222,0,0,0.08
N0223,0,0,0.10
N0224,0,0,0.11
N0225,0,0,0.09
N0226,0,0,0.08
N0227,0,0,0.10
N0228,0,0,0.11
N0229,0,0,0.09
N0230,0,0,0.08
N0231,0,0,0.10
N0232,0,0,0.11
N0233,0,0,0.09
N0234,0,0,0.08
N0235,0,0,0.10
N0236,0,0,0.11
N0237,0,0,0.09
N0238,0,0,0.08
N0239,0,0,0.10
N0240,0,0,0.11
N0241,0,0,0.09
N0242,0,0,0.08
N0243,0,0,0.10
N0244,0,0,0.11
N0245,0,0,0.09
N0246,0,0,0.08
N0247,0,0,0.10
N0248,0,0,0.11
N0249,0,0,0.09
N0250,0,0,0.08
N0251,0,0,0.10
N0252,0,0,0.11
