nct_id,indication,phase,sample_size,duration_weeks,dropout_rate,endpoint_primary,control_type,blinding,success,failure_reason
NCT74864043,COPD,2,296,71,0.4,Exacerbation reduction,active comparator,single-blind,1,
NCT32913640,Hypertension,3,499,42,0.2,SBP reduction,placebo,double-blind,0,Pharmacokinetic issues with drug exposure
NCT88126051,Rheumatoid Arthritis,2,286,61,0.29,DAS28 score reduction,standard of care,double-blind,0,Inadequate statistical power
NCT72348905,Non-Small Cell Lung Cancer,2/3,329,51,0.13,Overall survival,active comparator,open-label,0,Inadequate statistical power
NCT59065170,Type 2 Diabetes,3,871,36,0.18,HbA1c reduction,placebo,double-blind,0,
NCT88876707,Major Depressive Disorder,3,946,33,0.24,MADRS score reduction,active comparator,open-label,0,Pharmacokinetic issues with drug exposure
NCT60080773,Melanoma,1,59,16,0.09,Objective response rate,active comparator,double-blind,1,
NCT26724911,Type 2 Diabetes,2,185,19,0.13,Postprandial glucose reduction,placebo,double-blind,0,
NCT38662174,Melanoma,2,225,75,0.27,Objective response rate,placebo,double-blind,0,Dose selection suboptimal
NCT58940370,Rheumatoid Arthritis,3,861,45,0.28,ACR20 response,placebo,open-label,0,Drug-drug interactions affected efficacy
NCT89580737,Colorectal Cancer,3,1127,142,0.4,Disease control rate,placebo,open-label,0,Endpoint selection not sensitive to change
NCT63401626,Prostate Cancer,3,782,26,0.11,PSA response,placebo,double-blind,0,Dose selection suboptimal
NCT62919485,Melanoma,1,67,5,0.02,Objective response rate,placebo,single-blind,0,
NCT15512971,Non-Small Cell Lung Cancer,3,331,41,0.19,Objective response rate,placebo,double-blind,0,
NCT21168821,Non-Small Cell Lung Cancer,3,887,45,0.2,Overall survival,standard of care,open-label,1,
NCT99700153,Colorectal Cancer,1/2,95,127,0.4,Disease control rate,active comparator,open-label,0,Drug-drug interactions affected efficacy
NCT85572677,Melanoma,3,1184,41,0.12,Overall survival,standard of care,double-blind,0,
NCT71839257,COPD,3,462,28,0.31,Exacerbation reduction,placebo,double-blind,1,
NCT32177747,Multiple Sclerosis,1/2,90,19,0.14,EDSS score change,active comparator,double-blind,0,
NCT87304415,Parkinson's Disease,3,1164,50,0.22,ON time without dyskinesia,placebo,double-blind,1,
NCT28650056,COPD,3,703,37,0.27,SGRQ score improvement,placebo,double-blind,1,
NCT36789964,Rheumatoid Arthritis,2,190,13,0.11,HAQ-DI improvement,active comparator,double-blind,0,Target population too heterogeneous
NCT44181109,Major Depressive Disorder,1/2,62,17,0.17,MADRS score reduction,active comparator,double-blind,0,Unexpected safety signal
NCT18555929,Prostate Cancer,2,135,80,0.27,PSA response,active comparator,open-label,0,
NCT16113819,Asthma,2/3,1178,41,0.14,Asthma exacerbation reduction,placebo,double-blind,0,Unexpected safety signal
NCT20848327,Rheumatoid Arthritis,3,836,21,0.15,ACR20 response,active comparator,open-label,0,
NCT55577639,Parkinson's Disease,1/2,21,5,0.04,UPDRS score improvement,placebo,double-blind,0,
NCT29492472,Asthma,1/2,39,22,0.12,Asthma exacerbation reduction,active comparator,single-blind,0,
NCT92902838,Type 2 Diabetes,2/3,733,59,0.25,HbA1c reduction,no control,open-label,1,
NCT65859436,Rheumatoid Arthritis,2,135,26,0.17,HAQ-DI improvement,standard of care,double-blind,1,
