execute_research_agreement | refuse | - | AnaToolExecutor.ts:11393 | none; the handler already refuses (execution is a signed act)
execute_subaward | refuse | - | AnaToolExecutor.ts:12303 | none; the handler already refuses (execution is a signed act)
extract_submission_document | confirm | - | ingestion/ingestion-service.ts:506 | UPDATE coauthor_documents metadata; INSERT submission_evidence_links
fetch_template_and_fill | self | - | docx/masterDocumentBuilder.ts:262 | scratch filled .docx under tmp/docbuilder, not filed
file_chat_upload_to_vault | confirm | - | vault/vault-ingest.service.ts:452 | INSERT vault.documents + catalog + audit
finalize_biosketch | refuse | - | AnaToolExecutor.ts:11189 | none; the handler already refuses
finalize_committee_determination | refuse | - | AnaToolExecutor.ts:11853 | none; the handler already refuses
finalize_dms_plan | refuse | - | AnaToolExecutor.ts:11080 | none; the handler already refuses
finalize_export_control_determination | refuse | - | AnaToolExecutor.ts:11319 | none; the handler already refuses
finalize_grant_closeout | refuse | - | AnaToolExecutor.ts:12228 | none; the handler already refuses
finalize_protocol_document | refuse | - | AnaToolExecutor.ts:11572 | none; the handler already refuses (signatureRequired)
generate_document | conditional | input.output_format === 'xml' -> confirm (its path is built from the unsanitised title); else self | docx/masterDocumentBuilder.ts:335 | scratch DOCX/PDF/XML under tmp/docbuilder
generate_se_matrix | confirm | - | AnaToolExecutor.ts:6233 | POST to the shadow review service with an admin token (unverified whether it persists; fail closed)
ind_generate_section | confirm | - | routes/ind-generation.ts:338 | loopback POST that creates an artifact for the given project
